incident_id,airline,incident_date,incident_type,severity,flights_affected,resolution_hrs,reported_to_dgca,news_coverage,source,reported_to_dgca_missing_flag
INC-00001,AirIndia,2025-12-23,CREW_SHORTAGE,CRITICAL,27,30.1,,False,NEWS_SCRAPE,True
INC-00002,SpiceJet,2025-12-12,PASSENGER_COMPLAINT,CRITICAL,31,39.9,True,False,NEWS_SCRAPE,False
INC-00003,AirIndia,2025-11-15,ATC_DELAY,HIGH,24,20.4,True,False,DGCA_FEED,False
INC-00004,AkasaAir,2025-11-13,SLOT_MISS,CRITICAL,42,34.0,,False,NEWS_SCRAPE,True
INC-00005,SpiceJet,2025-11-11,PASSENGER_COMPLAINT,LOW,43,10.0,,True,DGCA_FEED,True
INC-00006,AirIndia,2025-11-13,WEATHER,HIGH,23,11.7,False,True,NEWS_SCRAPE,False
INC-00007,Vistara,2025-11-15,PASSENGER_COMPLAINT,CRITICAL,44,51.4,True,False,AIRLINE_REPORT,False
INC-00008,IndiGo,2025-11-20,WEATHER,LOW,14,53.0,False,False,NEWS_SCRAPE,False
INC-00009,AirIndia,2025-12-12,WEATHER,MEDIUM,30,42.0,True,False,AIRLINE_REPORT,False
INC-00010,AkasaAir,2025-11-21,PASSENGER_COMPLAINT,LOW,13,40.4,False,False,AIRLINE_REPORT,False
INC-00011,AirIndia,2025-11-02,ATC_DELAY,MEDIUM,24,22.5,,True,NEWS_SCRAPE,True
INC-00012,Vistara,2025-11-29,SLOT_MISS,HIGH,34,66.7,True,True,DGCA_FEED,False
INC-00013,AkasaAir,2025-12-24,TECHNICAL,MEDIUM,18,45.8,True,False,AIRLINE_REPORT,False
INC-00014,SpiceJet,2025-11-20,TECHNICAL,CRITICAL,44,65.1,False,False,DGCA_FEED,False
INC-00015,IndiGo,2025-11-14,TECHNICAL,LOW,15,20.4,True,False,DGCA_FEED,False
INC-00016,AkasaAir,2025-12-28,PASSENGER_COMPLAINT,LOW,30,20.9,True,True,NEWS_SCRAPE,False
INC-00017,IndiGo,2025-12-05,PASSENGER_COMPLAINT,MEDIUM,43,35.2,True,True,NEWS_SCRAPE,False
INC-00018,IndiGo,2025-12-14,ATC_DELAY,LOW,24,44.0,False,False,NEWS_SCRAPE,False
INC-00019,SpiceJet,2025-11-16,TECHNICAL,LOW,45,33.4,False,False,NEWS_SCRAPE,False
INC-00020,AirIndia,2025-11-16,SLOT_MISS,HIGH,7,3.7,True,False,NEWS_SCRAPE,False
INC-00021,IndiGo,2025-12-28,SLOT_MISS,LOW,12,38.2,False,True,AIRLINE_REPORT,False
INC-00022,AkasaAir,2025-12-01,WEATHER,CRITICAL,27,54.8,True,True,AIRLINE_REPORT,False
INC-00023,IndiGo,2025-12-29,ATC_DELAY,LOW,7,47.5,True,True,AIRLINE_REPORT,False
INC-00024,SpiceJet,2025-12-21,SLOT_MISS,HIGH,44,58.5,False,True,NEWS_SCRAPE,False
INC-00025,AirIndia,2025-11-16,PASSENGER_COMPLAINT,CRITICAL,32,30.8,True,True,DGCA_FEED,False
INC-00026,Vistara,2025-11-14,BAGGAGE,LOW,19,47.6,False,False,AIRLINE_REPORT,False
INC-00027,AkasaAir,2025-11-10,PASSENGER_COMPLAINT,MEDIUM,28,52.3,False,False,AIRLINE_REPORT,False
INC-00028,AirIndia,2025-12-11,SLOT_MISS,MEDIUM,11,49.2,,True,NEWS_SCRAPE,True
INC-00029,AirIndia,2025-12-05,BAGGAGE,CRITICAL,41,36.4,True,True,AIRLINE_REPORT,False
INC-00030,IndiGo,2025-11-28,PASSENGER_COMPLAINT,CRITICAL,4,31.1,False,False,AIRLINE_REPORT,False
INC-00031,IndiGo,2025-12-19,WEATHER,MEDIUM,4,69.2,False,False,AIRLINE_REPORT,False
INC-00032,AirIndia,2025-11-21,ATC_DELAY,LOW,17,66.5,True,True,DGCA_FEED,False
INC-00033,SpiceJet,2025-11-04,CREW_SHORTAGE,HIGH,6,59.4,False,True,AIRLINE_REPORT,False
INC-00034,SpiceJet,2025-12-23,TECHNICAL,MEDIUM,26,68.6,,False,NEWS_SCRAPE,True
INC-00035,IndiGo,2025-11-05,TECHNICAL,CRITICAL,18,56.3,True,True,NEWS_SCRAPE,False
INC-00036,AkasaAir,2025-12-12,SLOT_MISS,MEDIUM,5,32.8,False,True,NEWS_SCRAPE,False
INC-00037,AirIndia,2025-12-03,TECHNICAL,CRITICAL,9,0.6,False,False,NEWS_SCRAPE,False
INC-00038,AirIndia,2025-12-21,TECHNICAL,HIGH,15,18.1,,True,DGCA_FEED,True
INC-00039,SpiceJet,2025-11-21,CREW_SHORTAGE,LOW,3,16.6,False,True,NEWS_SCRAPE,False
INC-00040,AirIndia,2025-11-08,WEATHER,LOW,36,12.4,False,True,DGCA_FEED,False
INC-00041,SpiceJet,2025-11-20,ATC_DELAY,MEDIUM,28,64.9,,False,AIRLINE_REPORT,True
INC-00042,Vistara,2025-12-15,ATC_DELAY,CRITICAL,10,32.3,False,False,NEWS_SCRAPE,False
INC-00043,SpiceJet,2025-11-26,WEATHER,CRITICAL,32,60.8,True,False,AIRLINE_REPORT,False
INC-00044,IndiGo,2025-11-04,WEATHER,LOW,27,16.5,False,True,DGCA_FEED,False
INC-00045,AirIndia,2025-12-17,PASSENGER_COMPLAINT,LOW,13,23.4,,False,AIRLINE_REPORT,True
INC-00046,SpiceJet,2025-11-16,CREW_SHORTAGE,CRITICAL,45,67.2,,False,DGCA_FEED,True
INC-00047,AirIndia,2025-12-03,BAGGAGE,LOW,8,39.4,,True,DGCA_FEED,True
INC-00048,Vistara,2025-11-20,SLOT_MISS,HIGH,1,25.9,True,True,NEWS_SCRAPE,False
INC-00049,SpiceJet,2025-11-04,ATC_DELAY,HIGH,37,24.3,False,False,AIRLINE_REPORT,False
INC-00050,AirIndia,2025-12-15,BAGGAGE,MEDIUM,28,37.1,True,True,DGCA_FEED,False
INC-00051,AirIndia,2025-11-02,TECHNICAL,LOW,27,49.8,True,True,DGCA_FEED,False
INC-00052,AirIndia,2025-12-13,CREW_SHORTAGE,HIGH,26,45.9,True,True,NEWS_SCRAPE,False
INC-00053,AkasaAir,2025-11-17,WEATHER,CRITICAL,4,32.5,True,False,AIRLINE_REPORT,False
INC-00054,AkasaAir,2025-11-09,PASSENGER_COMPLAINT,MEDIUM,23,0.9,,True,DGCA_FEED,True
INC-00055,IndiGo,2025-11-24,TECHNICAL,LOW,4,49.2,False,True,NEWS_SCRAPE,False
INC-00056,IndiGo,2025-11-30,BAGGAGE,CRITICAL,10,10.4,,False,AIRLINE_REPORT,True
INC-00057,IndiGo,2025-11-11,BAGGAGE,LOW,17,45.3,False,True,AIRLINE_REPORT,False
INC-00058,SpiceJet,2025-11-20,PASSENGER_COMPLAINT,LOW,23,23.1,True,True,AIRLINE_REPORT,False
INC-00059,AirIndia,2025-12-09,PASSENGER_COMPLAINT,CRITICAL,3,5.5,True,True,DGCA_FEED,False
INC-00060,SpiceJet,2025-11-08,PASSENGER_COMPLAINT,MEDIUM,2,64.1,True,False,NEWS_SCRAPE,False
INC-00061,IndiGo,2025-11-10,TECHNICAL,CRITICAL,35,5.7,False,False,NEWS_SCRAPE,False
INC-00062,IndiGo,2025-11-19,BAGGAGE,CRITICAL,33,42.5,,False,DGCA_FEED,True
INC-00063,SpiceJet,2025-11-15,WEATHER,HIGH,12,26.3,True,False,DGCA_FEED,False
INC-00064,AkasaAir,2025-12-24,PASSENGER_COMPLAINT,HIGH,26,32.7,,True,AIRLINE_REPORT,True
INC-00065,AirIndia,2025-12-06,CREW_SHORTAGE,LOW,10,14.6,,True,DGCA_FEED,True
INC-00066,AirIndia,2025-11-22,BAGGAGE,CRITICAL,5,56.7,False,True,DGCA_FEED,False
INC-00067,Vistara,2025-11-12,BAGGAGE,LOW,1,51.5,True,True,AIRLINE_REPORT,False
INC-00068,SpiceJet,2025-11-25,WEATHER,MEDIUM,34,67.8,False,False,AIRLINE_REPORT,False
INC-00069,IndiGo,2025-12-24,WEATHER,HIGH,7,53.7,True,False,DGCA_FEED,False
INC-00070,Vistara,2025-12-19,BAGGAGE,CRITICAL,38,43.5,,False,DGCA_FEED,True
INC-00071,IndiGo,2025-11-11,BAGGAGE,LOW,10,17.1,False,False,DGCA_FEED,False
INC-00072,Vistara,2025-12-08,PASSENGER_COMPLAINT,LOW,35,4.1,,False,AIRLINE_REPORT,True
INC-00073,AirIndia,2025-11-01,ATC_DELAY,LOW,7,6.1,,False,DGCA_FEED,True
INC-00074,Vistara,2025-12-23,TECHNICAL,LOW,7,24.7,,True,NEWS_SCRAPE,True
INC-00075,IndiGo,2025-11-11,PASSENGER_COMPLAINT,LOW,2,49.0,False,True,DGCA_FEED,False
