station,obs_datetime,metar_raw,visibility_m,weather_code,wind_dir_deg,wind_spd_kt,is_fog,low_vis,temp_c,dew_point_c,qnh_hpa,data_source,data_source_missing_flag
VABB,2025-11-01T00:00:00,VABB 010000Z 14020KT 6000 HZ ////// Q1013,6000,HZ,140,20,0,0,15.8,15.0,1014,METAR_AUTO,False
VABB,2025-11-01T03:00:00,VABB 010300Z 33006KT 6000 NIL ////// Q1013,6000,NIL,330,6,0,0,13.3,9.7,1010,METAR_AUTO,False
VABB,2025-11-01T06:00:00,VABB 010600Z 04012KT 9999 NIL ////// Q1013,9999,NIL,40,12,0,0,19.9,13.5,1024,METAR_AUTO,False
VABB,2025-11-01T09:00:00,VABB 010900Z 27020KT 9999 HZ ////// Q1013,9999,HZ,270,20,0,0,23.0,12.7,1018,METAR_AUTO,False
VABB,2025-11-01T12:00:00,VABB 011200Z 14006KT 3000 NIL ////// Q1013,3000,NIL,140,6,0,0,18.6,9.0,1011,METAR_AUTO,False
VABB,2025-11-01T15:00:00,VABB 011500Z 18019KT 6000 NIL ////// Q1013,6000,NIL,180,19,0,0,11.7,11.8,1006,METAR_AUTO,False
VABB,2025-11-01T18:00:00,VABB 011800Z 14014KT 6000 HZ ////// Q1013,6000,HZ,140,14,0,0,18.7,19.7,1008,METAR_AUTO,False
VABB,2025-11-01T21:00:00,VABB 012100Z 31012KT 9999 HZ ////// Q1013,9999,HZ,310,12,0,0,17.4,5.9,1024,METAR_AUTO,False
VABB,2025-11-02T00:00:00,VABB 020000Z 12011KT 9999 NIL ////// Q1013,9999,NIL,120,11,0,0,26.5,9.3,1018,METAR_AUTO,False
VABB,2025-11-02T03:00:00,VABB 020300Z 24002KT 9999 NIL ////// Q1013,9999,NIL,240,2,0,0,22.4,13.3,1017,METAR_AUTO,False
VABB,2025-11-02T06:00:00,VABB 020600Z 24003KT 3000 HZ ////// Q1013,3000,HZ,240,3,0,0,11.9,5.1,1021,METAR_AUTO,False
VABB,2025-11-02T09:00:00,VABB 020900Z 35004KT 9999 NIL ////// Q1013,9999,NIL,350,4,0,0,21.9,10.9,1012,METAR_AUTO,False
VABB,2025-11-02T12:00:00,VABB 021200Z 00003KT 3000 NIL ////// Q1013,3000,NIL,0,3,0,0,20.7,19.9,1018,METAR_AUTO,False
VABB,2025-11-02T15:00:00,VABB 021500Z 24009KT 6000 NIL ////// Q1013,6000,NIL,240,9,0,0,23.3,17.3,1007,,True
VABB,2025-11-02T18:00:00,VABB 021800Z 30016KT 9999 NIL ////// Q1013,9999,NIL,300,16,0,0,19.6,14.1,1020,METAR_AUTO,False
VABB,2025-11-02T21:00:00,VABB 022100Z 34003KT 6000 NIL ////// Q1013,6000,NIL,340,3,0,0,13.8,10.4,1023,METAR_AUTO,False
VABB,2025-11-03T00:00:00,VABB 030000Z 22020KT 6000 NIL ////// Q1013,6000,NIL,220,20,0,0,14.2,14.2,1007,METAR_AUTO,False
VABB,2025-11-03T03:00:00,VABB 030300Z 17015KT 9999 HZ ////// Q1013,9999,HZ,170,15,0,0,18.8,7.1,1023,,True
VABB,2025-11-03T06:00:00,VABB 030600Z 30016KT 9999 NIL ////// Q1013,9999,NIL,300,16,0,0,24.4,11.0,1017,METAR_AUTO,False
