route_id,date,origin,destination,distance_km,avg_fare,currency,pax_boarded,load_factor,revenue,refunds_issued,is_govt_capped,cap_fare_limit,season_tag,avg_fare_inr,revenue_inr,refunds_issued_inr,currency_standardized,cap_applied_flag
IXB-JAI,2025-12-01,IXB,JAI,1169,8576.78,INR,135,0.73,1157865.3,0,0,,PEAK_WEDDING,8576.78,1157865.3,0,INR,False
GOI-JAI,2025-12-01,GOI,JAI,2229,13260.96,INR,161,0.87,2135014.56,0,0,18000.0,PEAK_WEDDING,13260.96,2135014.56,0,INR,True
HYD-LKO,2025-12-01,HYD,LKO,2625,19051.04,INR,138,0.74,2629043.52,0,0,18000.0,PEAK_WEDDING,19051.04,2629043.52,0,INR,True
HYD-SXR,2025-12-01,HYD,SXR,1922,13433.62,INR,105,0.56,1410530.1,0,0,18000.0,PEAK_WEDDING,13433.62,1410530.1,0,INR,True
IXB-HYD,2025-12-01,IXB,HYD,580,5793.74,INR,104,0.56,602548.96,0,0,,PEAK_WEDDING,5793.74,602548.96,0,INR,False
VNS-GOI,2025-12-01,VNS,GOI,1781,12796.64,INR,133,0.72,1701953.12,0,0,18000.0,PEAK_WEDDING,12796.64,1701953.12,0,INR,True
DEL-SXR,2025-12-01,DEL,SXR,1417,9847.06,INR,153,0.82,1506600.18,0,0,,PEAK_WEDDING,9847.06,1506600.18,0,INR,False
HYD-IXC,2025-12-01,HYD,IXC,366,4775.26,INR,82,0.44,391571.32,0,0,,PEAK_WEDDING,4775.26,391571.32,0,INR,False
DEL-PAT,2025-12-01,DEL,PAT,1728,12061.84,INR,105,0.56,1266493.2,0,0,18000.0,PEAK_WEDDING,12061.84,1266493.2,0,INR,True
MAA-BOM,2025-12-01,MAA,BOM,572,5876.44,INR,162,0.87,951983.28,0,0,,PEAK_WEDDING,5876.44,951983.28,0,INR,False
JAI-IXB,2025-12-01,JAI,IXB,896,7498.39,INR,138,0.74,1034777.82,0,0,,PEAK_WEDDING,7498.39,1034777.82,0,INR,False
PNQ-CCU,2025-12-01,PNQ,CCU,2214,16303.85,INR,125,0.67,2037981.25,0,0,18000.0,PEAK_WEDDING,16303.85,2037981.25,0,INR,True
DEL-MAA,2025-12-01,DEL,MAA,675,81.85,USD,99,0.53,8103.15,0,0,,PEAK_WEDDING,6793.549999999999,672561.45,0,INR,False
