route_id,date,origin,destination,distance_km,avg_fare,currency,pax_boarded,load_factor,revenue,refunds_issued,is_govt_capped,cap_fare_limit,season_tag,cap_applied_flag
BHO-HYD,2025-11-01,BHO,HYD,1509,12310.82,INR,169,0.91,2080528.58,0,0,,NORMAL,False
BHO-BLR,2025-11-01,BHO,BLR,928,8215.77,INR,142,0.76,1166639.34,0,0,,NORMAL,False
MAA-GAU,2025-11-01,MAA,GAU,1525,10912.61,INR,186,1.0,2029745.46,0,0,,NORMAL,False
MAA-BOM,2025-11-01,MAA,BOM,1803,12526.46,INR,126,0.68,1578333.96,0,0,,NORMAL,False
LKO-JAI,2025-11-01,LKO,JAI,1390,11898.18,INR,185,0.99,2201163.3,0,0,,NORMAL,False
LKO-HYD,2025-11-01,LKO,HYD,2321,12974.1,INR,127,0.68,1647710.7,0,0,,NORMAL,False
SXR-VNS,2025-11-01,SXR,VNS,442,4871.39,INR,93,0.5,453039.27,0,0,,NORMAL,False
ATQ-PAT,2025-11-01,ATQ,PAT,2448,14608.31,INR,128,0.69,1869863.68,0,0,,NORMAL,False
PNQ-ATQ,2025-11-01,PNQ,ATQ,2300,15352.82,INR,95,0.51,1458517.9,0,0,,NORMAL,False
DEL-IXB,2025-11-01,DEL,IXB,1466,10570.6,INR,176,0.95,1860425.6,0,0,,NORMAL,False
AMD-HYD,2025-11-01,AMD,HYD,2165,15989.45,INR,178,0.96,2846122.1,0,0,,NORMAL,False
HYD-GOI,2025-11-01,HYD,GOI,786,8189.59,INR,91,0.49,745252.69,0,0,,NORMAL,False
AMD-BLR,2025-11-01,AMD,BLR,1211,10739.75,INR,148,0.8,1589483.0,0,0,,NORMAL,False
PNQ-CCU,2025-11-01,PNQ,CCU,2254,13169.91,INR,162,0.87,2133525.42,0,0,,NORMAL,False
BLR-MAA,2025-11-01,BLR,MAA,739,7487.39,INR,97,0.52,726276.83,0,0,,NORMAL,False
BOM-IXC,2025-11-01,BOM,IXC,680,6534.12,INR,144,0.77,940913.28,0,0,,NORMAL,False
GOI-IXC,2025-11-01,GOI,IXC,2035,13293.72,INR,173,0.93,2299813.56,0,0,,NORMAL,False
IXC-SXR,2025-11-01,IXC,SXR,559,5817.98,INR,87,0.47,506164.26,0,0,,NORMAL,False
AMD-LKO,2025-11-01,AMD,LKO,1443,11907.42,INR,80,0.43,952593.6,0,0,,NORMAL,False
BOM-GAU,2025-11-01,BOM,GAU,1465,10064.67,INR,122,0.66,1227889.74,0,0,,NORMAL,False
GAU-BOM,2025-11-01,GAU,BOM,1739,12558.4,INR,80,0.43,1004672.0,0,0,,NORMAL,False
GAU-MAA,2025-11-01,GAU,MAA,2555,17776.09,INR,144,0.77,2559756.96,0,0,,NORMAL,False
BHO-BOM,2025-11-01,BHO,BOM,2775,19574.44,INR,84,0.45,1644252.96,0,0,,NORMAL,False
LKO-VNS,2025-11-01,LKO,VNS,394,5194.9,INR,97,0.52,503905.3,0,0,,NORMAL,False
IXC-CCU,2025-11-01,IXC,CCU,675,6948.66,INR,104,0.56,722660.64,0,0,,NORMAL,False
JAI-ATQ,2025-11-01,JAI,ATQ,379,5664.06,INR,116,0.62,657030.96,0,0,,NORMAL,False
JAI-BLR,2025-11-01,JAI,BLR,2773,15488.78,INR,80,0.43,1239102.4,0,0,,NORMAL,False
BLR-HYD,2025-11-01,BLR,HYD,770,6697.32,INR,172,0.92,1151939.04,0,0,,NORMAL,False
HYD-DEL,2025-11-01,HYD,DEL,2094,12670.89,INR,87,0.47,1102367.43,0,0,,NORMAL,False
DEL-IXC,2025-11-01,DEL,IXC,960,7190.52,INR,93,0.5,668718.36,0,0,,NORMAL,False
IXB-COK,2025-11-01,IXB,COK,915,7868.55,INR,173,0.93,1361259.15,0,0,,NORMAL,False
COK-JAI,2025-11-01,COK,JAI,1750,11233.88,INR,131,0.7,1471638.28,0,0,,NORMAL,False
SXR-IXB,2025-11-01,SXR,IXB,2002,14581.58,INR,121,0.65,1764371.18,0,0,,NORMAL,False
IXB-HYD,2025-11-01,IXB,HYD,793,6464.12,INR,169,0.91,1092436.28,0,0,,NORMAL,False
DEL-BHO,2025-11-01,DEL,BHO,1843,10823.48,INR,134,0.72,1450346.32,0,0,,NORMAL,False
DEL-LKO,2025-11-01,DEL,LKO,2462,16291.87,INR,149,0.8,2427488.63,0,0,,NORMAL,False
IXB-JAI,2025-11-01,IXB,JAI,1224,9181.63,INR,171,0.92,1570058.73,0,0,,NORMAL,False
SXR-AMD,2025-11-01,SXR,AMD,346,4943.71,INR,110,0.59,543808.1,0,0,,NORMAL,False
VNS-BOM,2025-11-01,VNS,BOM,368,5713.9,INR,151,0.81,862798.9,0,0,,NORMAL,False
BOM-HYD,2025-11-01,BOM,HYD,2786,17941.77,INR,121,0.65,2170954.17,0,0,,NORMAL,False
CCU-VNS,2025-11-01,CCU,VNS,718,6589.3,INR,179,0.96,1179484.7,0,0,,NORMAL,False
LKO-BHO,2025-11-01,LKO,BHO,2472,14526.82,INR,147,0.79,2135442.54,0,0,,NORMAL,False
VNS-JAI,2025-11-01,VNS,JAI,1633,10939.0,INR,142,0.76,1553338.0,0,0,,NORMAL,False
HYD-CCU,2025-11-01,HYD,CCU,2611,15184.52,INR,158,0.85,2399154.16,0,0,,NORMAL,False
PAT-CCU,2025-11-01,PAT,CCU,1775,10702.92,INR,85,0.46,909748.2,0,0,,NORMAL,False
SXR-DEL,2025-11-01,SXR,DEL,896,7562.18,INR,185,0.99,1399003.3,0,0,,NORMAL,False
PAT-ATQ,2025-11-01,PAT,ATQ,2690,14686.91,INR,98,0.53,1439317.18,0,0,,NORMAL,False
