flt_no,src,dst,sched_time,actual_time,status_cd,delay_mins,ac_reg,sector,ops_month,data_ver
6E2684,SXR,GAU,01/10/2025 03:15,01/10/2025 03:15,OK,0,VT-C015,SXR-GAU,OCT-2025,LEGACY_v1
6E4618,LKO,VNS,01/10/2025 07:30,01/10/2025 09:23,DLY,113,VT-B014,LKO-VNS,OCT-2025,LEGACY_v1
6E3997,JAI,GAU,01/10/2025 16:45,N/A,DIV,,VT-C015,JAI-GAU,OCT-2025,LEGACY_v1
6E3005,IXC,COK,01/10/2025 00:30,01/10/2025 00:30,OK,0,VT-D030,IXC-COK,OCT-2025,LEGACY_v1
6E2159,MAA,VNS,01/10/2025 07:15,01/10/2025 07:15,OK,0,VT-E018,MAA-VNS,OCT-2025,LEGACY_v1
6E1052,IXB,PAT,01/10/2025 06:45,01/10/2025 07:45,DLY,60,VT-B018,IXB-PAT,OCT-2025,LEGACY_v1
6E5546,GAU,BLR,01/10/2025 13:00,N/A,CXL,,VT-D036,GAU-BLR,OCT-2025,LEGACY_v1
6E392,SXR,BLR,01/10/2025 02:45,01/10/2025 02:45,OK,0,VT-E016,SXR-BLR,OCT-2025,LEGACY_v1
6E9608,JAI,VNS,01/10/2025 10:45,01/10/2025 10:45,OK,0,VT-D037,JAI-VNS,OCT-2025,LEGACY_v1
6E2845,LKO,COK,01/10/2025 11:00,N/A,CXL,,VT-C036,LKO-COK,OCT-2025,LEGACY_v1
6E123,HYD,PAT,01/10/2025 06:00,01/10/2025 06:00,OK,0,VT-A011,HYD-PAT,OCT-2025,LEGACY_v1
6E1203,IXC,BHO,01/10/2025 08:15,01/10/2025 08:15,OK,0,VT-E044,IXC-BHO,OCT-2025,LEGACY_v1
6E6522,BOM,COK,01/10/2025 04:30,01/10/2025 05:58,DLY,88,VT-C053,BOM-COK,OCT-2025,LEGACY_v1
6E4590,SXR,IXB,01/10/2025 10:00,01/10/2025 10:00,OK,0,VT-D053,SXR-IXB,OCT-2025,LEGACY_v1
6E4277,GOI,COK,01/10/2025 21:00,01/10/2025 21:00,OK,0,VT-B020,GOI-COK,OCT-2025,LEGACY_v1
