flight_id,flight_number,airline_name,iata_code,from_airport,to_airport,sched_departure,actual_departure,flight_status,delay_min,tail_no,pax_count,is_night,report_date,data_source
200001,SG2969,SpiceJet,SG,SXR,LKO,2025-11-01T00:00:00,2025-11-01T00:05:00,ON_TIME,5,VT-A029,104,1,2025-11-01,AIRLINE_API
200002,SG4047,SpiceJet,SG,HYD,MAA,2025-11-01T16:30:00,2025-11-01T16:36:00,ON_TIME,6,VT-C012,160,0,2025-11-01,AIRLINE_API
200003,SG4223,SpiceJet,SG,IXC,JAI,2025-11-01T10:45:00,2025-11-01T11:44:00,DELAYED,59,VT-E040,100,0,2025-11-01,OAG_FEED
200004,SG1124,SG,SG,LKO,DEL,2025-11-01T07:00:00,2025-11-01T07:04:00,ON_TIME,4,VT-E030,102,0,2025-11-01,DGCA_PORTAL
200005,SG4085,SG,SG,PAT,DEL,2025-11-01T16:30:00,2025-11-01T16:32:00,ON_TIME,2,VT-A036,133,0,2025-11-01,DGCA_PORTAL
200006,SG1886,SpiceJet,SG,SXR,VNS,2025-11-01T12:00:00,2025-11-01T12:03:00,ON_TIME,3,VT-C021,207,0,2025-11-01,OAG_FEED
200007,SG1880,SG,SG,CCU,BHO,2025-11-01T05:45:00,2025-11-01T05:47:00,ON_TIME,2,VT-B022,184,1,2025-11-01,DGCA_PORTAL
200008,SG2275,SpiceJet,SG,PAT,IXB,2025-11-01T19:30:00,2025-11-01T19:34:00,ON_TIME,4,VT-C024,187,0,2025-11-01,OAG_FEED
200009,SG4475,SpiceJet,SG,IXB,PAT,2025-11-01T05:00:00,2025-11-01T06:27:00,DELAYED,87,VT-C039,165,1,2025-11-01,OAG_FEED
200010,SG4937,SG,SG,LKO,IXB,2025-11-01T06:00:00,2025-11-01T06:03:00,ON_TIME,3,VT-D059,152,0,2025-11-01,DGCA_PORTAL
200011,SG3072,SG,SG,JAI,HYD,2025-11-01T03:45:00,2025-11-01T03:47:00,ON_TIME,2,VT-B028,140,1,2025-11-01,AIRLINE_API
200012,SG2496,SpiceJet,SG,GOI,DEL,2025-11-01T02:00:00,2025-11-01T02:10:00,ON_TIME,10,VT-E028,191,1,2025-11-01,AIRLINE_API
200013,SG3199,SpiceJet,SG,JAI,SXR,2025-11-02T07:45:00,2025-11-02T07:48:00,ON_TIME,3,VT-B013,124,0,2025-11-02,DGCA_PORTAL
200014,SG4268,SpiceJet,SG,IXC,COK,2025-11-02T11:30:00,2025-11-02T11:36:00,ON_TIME,6,VT-A022,220,0,2025-11-02,AIRLINE_API
200015,SG3970,SpiceJet,SG,JAI,GAU,2025-11-02T10:00:00,2025-11-02T10:07:00,ON_TIME,7,VT-B016,200,0,2025-11-02,OAG_FEED
200016,SG4344,SpiceJet,SG,VNS,GOI,2025-11-02T08:00:00,2025-11-02T09:09:00,DELAYED,69,VT-B009,124,0,2025-11-02,AIRLINE_API
200017,SG2214,SpiceJet,SG,IXC,PNQ,2025-11-02T11:15:00,2025-11-02T11:16:00,ON_TIME,1,VT-A013,152,0,2025-11-02,DGCA_PORTAL
200018,SG3439,SpiceJet,SG,IXC,DEL,2025-11-02T04:30:00,2025-11-02T04:35:00,ON_TIME,5,VT-C011,187,1,2025-11-02,OAG_FEED
200019,SG4852,SpiceJet,SG,AMD,PAT,2025-11-02T19:00:00,2025-11-02T19:10:00,ON_TIME,10,VT-B039,127,0,2025-11-02,DGCA_PORTAL
200020,SG614,SpiceJet,SG,DEL,ATQ,2025-11-02T06:00:00,2025-11-02T06:09:00,ON_TIME,9,VT-D044,192,0,2025-11-02,DGCA_PORTAL
200021,SG4824,SG,SG,COK,VNS,2025-11-02T18:15:00,2025-11-02T18:21:00,ON_TIME,6,VT-D018,198,0,2025-11-02,AIRLINE_API
200022,SG2018,SpiceJet,SG,IXC,CCU,2025-11-02T00:45:00,2025-11-02T00:51:00,ON_TIME,6,VT-D035,165,1,2025-11-02,AIRLINE_API
200023,SG697,SpiceJet,SG,HYD,AMD,2025-11-02T19:45:00,2025-11-02T19:53:00,ON_TIME,8,VT-D054,127,0,2025-11-02,DGCA_PORTAL
200024,SG4243,SG,SG,VNS,BOM,2025-11-02T04:15:00,2025-11-02T04:23:00,ON_TIME,8,VT-D007,205,1,2025-11-02,DGCA_PORTAL
200025,SG1037,SG,SG,MAA,BHO,2025-11-03T11:15:00,2025-11-03T11:22:00,ON_TIME,7,VT-B045,198,0,2025-11-03,AIRLINE_API
200026,SG4739,SpiceJet,SG,CCU,HYD,2025-11-03T19:30:00,2025-11-03T19:31:00,ON_TIME,1,VT-A052,210,0,2025-11-03,OAG_FEED
200027,SG4833,SpiceJet,SG,MAA,HYD,2025-11-03T01:15:00,2025-11-03T01:24:00,ON_TIME,9,VT-E038,219,1,2025-11-03,OAG_FEED
200028,SG2396,SpiceJet,SG,VNS,BHO,2025-11-03T06:30:00,2025-11-03T06:36:00,ON_TIME,6,VT-B060,115,0,2025-11-03,OAG_FEED
200029,SG265,SG,SG,PNQ,SXR,2025-11-03T18:15:00,2025-11-03T18:17:00,ON_TIME,2,VT-D054,125,0,2025-11-03,DGCA_PORTAL
200030,SG1744,SpiceJet,SG,CCU,ATQ,2025-11-03T07:30:00,2025-11-03T07:39:00,ON_TIME,9,VT-C033,201,0,2025-11-03,OAG_FEED
200031,SG2437,SpiceJet,SG,LKO,CCU,2025-11-03T15:00:00,2025-11-03T15:07:00,ON_TIME,7,VT-C053,159,0,2025-11-03,OAG_FEED
200032,SG3730,SpiceJet,SG,BLR,ATQ,2025-11-03T21:30:00,2025-11-03T21:33:00,ON_TIME,3,VT-A045,101,0,2025-11-03,AIRLINE_API
200033,SG3006,SpiceJet,SG,MAA,DEL,2025-11-03T02:45:00,2025-11-03T02:46:00,ON_TIME,1,VT-B031,202,1,2025-11-03,AIRLINE_API
200034,SG1424,SG,SG,JAI,PNQ,2025-11-03T23:30:00,2025-11-03T23:38:00,ON_TIME,8,VT-B052,141,1,2025-11-03,AIRLINE_API
200035,SG361,SpiceJet,SG,COK,CCU,2025-11-03T03:45:00,2025-11-03T03:49:00,ON_TIME,4,VT-D006,195,1,2025-11-03,OAG_FEED
200036,SG823,SpiceJet,SG,PAT,SXR,2025-11-03T04:00:00,2025-11-03T04:01:00,ON_TIME,1,VT-D029,174,1,2025-11-03,AIRLINE_API
200037,SG3711,SpiceJet,SG,ATQ,BHO,2025-11-04T15:45:00,2025-11-04T15:51:00,ON_TIME,6,VT-E021,155,0,2025-11-04,DGCA_PORTAL
200038,SG3668,SpiceJet,SG,HYD,JAI,2025-11-04T21:00:00,2025-11-04T21:06:00,ON_TIME,6,VT-A002,181,0,2025-11-04,AIRLINE_API
200039,SG3495,SG,SG,AMD,PAT,2025-11-04T11:30:00,2025-11-04T11:37:00,ON_TIME,7,VT-A056,112,0,2025-11-04,AIRLINE_API
200040,SG1144,SpiceJet,SG,HYD,SXR,2025-11-04T16:15:00,2025-11-04T16:18:00,ON_TIME,3,VT-A048,153,0,2025-11-04,DGCA_PORTAL
200041,SG4779,SpiceJet,SG,SXR,MAA,2025-11-04T21:00:00,2025-11-04T21:01:00,ON_TIME,1,VT-B007,193,0,2025-11-04,AIRLINE_API
200042,SG3369,SpiceJet,SG,GOI,BLR,2025-11-04T19:45:00,2025-11-04T19:52:00,ON_TIME,7,VT-A014,101,0,2025-11-04,AIRLINE_API
200043,SG4329,SG,SG,MAA,DEL,2025-11-04T01:15:00,2025-11-04T01:20:00,ON_TIME,5,VT-B021,159,1,2025-11-04,OAG_FEED
200044,SG232,SG,SG,BOM,LKO,2025-11-04T04:45:00,2025-11-04T04:48:00,ON_TIME,3,VT-C010,120,1,2025-11-04,AIRLINE_API
200045,SG496,SpiceJet,SG,MAA,JAI,2025-11-04T00:45:00,2025-11-04T03:57:00,DELAYED,192,VT-D053,167,1,2025-11-04,OAG_FEED
200046,SG4745,SpiceJet,SG,BOM,IXC,2025-11-04T02:45:00,2025-11-04T02:54:00,ON_TIME,9,VT-E058,140,1,2025-11-04,OAG_FEED
200047,SG3845,SpiceJet,SG,ATQ,VNS,2025-11-04T21:45:00,2025-11-04T21:53:00,ON_TIME,8,VT-A057,211,0,2025-11-04,DGCA_PORTAL
200048,SG3076,SpiceJet,SG,GAU,PNQ,2025-11-04T18:30:00,,CANCELLED,,VT-B006,,0,2025-11-04,OAG_FEED
200049,SG473,SG,SG,BLR,HYD,2025-11-05T09:45:00,2025-11-05T09:50:00,ON_TIME,5,VT-B053,218,0,2025-11-05,OAG_FEED
200050,SG2107,SpiceJet,SG,HYD,CCU,2025-11-05T05:00:00,,CANCELLED,,VT-D045,,1,2025-11-05,DGCA_PORTAL
200051,SG4217,SpiceJet,SG,PAT,BOM,2025-11-05T08:45:00,2025-11-05T08:54:00,ON_TIME,9,VT-A026,194,0,2025-11-05,AIRLINE_API
200052,SG3650,SpiceJet,SG,BHO,BOM,2025-11-05T02:00:00,2025-11-05T02:06:00,ON_TIME,6,VT-A046,212,1,2025-11-05,AIRLINE_API
200053,SG3245,SpiceJet,SG,PNQ,GAU,2025-11-05T12:30:00,2025-11-05T12:37:00,ON_TIME,7,VT-A038,111,0,2025-11-05,DGCA_PORTAL
200054,SG842,SpiceJet,SG,BHO,PAT,2025-11-05T20:45:00,2025-11-05T20:47:00,ON_TIME,2,VT-B052,113,0,2025-11-05,AIRLINE_API
200055,SG2187,SpiceJet,SG,BOM,DEL,2025-11-05T12:15:00,,CANCELLED,,VT-D034,,0,2025-11-05,OAG_FEED
200056,SG1285,SpiceJet,SG,LKO,COK,2025-11-05T05:45:00,2025-11-05T05:48:00,ON_TIME,3,VT-D026,213,1,2025-11-05,AIRLINE_API
