flight_id,flight_number,origin,destination,scheduled_dep,actual_dep,status,delay_minutes,gate,tail_number,passengers,is_night_flight,airline,aircraft_type,source_system,missing_passenger_flag,missing_gate_flag
100935,6E5995,SXR,VNS,2025-12-14T13:15:00,2025-12-14T13:20:00,ON_TIME,5.0,A22,VT-B051,151.0,0,IndiGo,A320,ACARS_v2,False,False
100419,6E9802,IXB,IXC,2025-12-06T12:15:00,2025-12-06T12:25:00,ON_TIME,10.0,A24,VT-A002,172.0,0,IndiGo,A321,ACARS_v2,False,False
101932,6E9819,IXC,LKO,2025-12-28T16:45:00,2025-12-28T16:47:00,ON_TIME,2.0,D7,VT-A060,140.0,0,IndiGo,A320,ACARS_v2,False,False
101852,6E108,PNQ,AMD,2025-12-27T03:30:00,2025-12-27T04:31:00,DELAYED,61.0,D20,VT-A009,183.0,1,IndiGo,A320neo,ACARS_v2,False,False
100355,6E541,ATQ,PNQ,2025-12-06T18:30:00,,CANCELLED,,,VT-C058,,0,IndiGo,A321,ACARS_v2,False,False
101116,6E7799,GAU,AMD,2025-12-16T23:30:00,2025-12-16T23:37:00,ON_TIME,,,VT-A013,166.0,1,IndiGo,A320neo,ACARS_v2,False,True
100930,6E7413,DEL,BOM,2025-12-14T05:45:00,2025-12-14T05:53:00,ON_TIME,8.0,E15,VT-E045,164.0,1,IndiGo,A321,ACARS_v2,False,False
100272,6E4918,BLR,COK,2025-12-04T21:15:00,2025-12-04T21:17:00,ON_TIME,2.0,E24,VT-D038,165.0,0,IndiGo,A321,ACARS_v2,False,False
100411,6E7279,MAA,GAU,2025-12-06T20:15:00,,CANCELLED,,,VT-E057,,0,IndiGo,A321,ACARS_v2,False,False
100887,6E3220,IXB,PNQ,2025-12-13T00:45:00,2025-12-13T00:47:00,ON_TIME,2.0,C3,VT-B024,171.0,1,IndiGo,A320,ACARS_v2,False,False
101499,6E8301,AMD,COK,2025-12-22T19:00:00,2025-12-22T19:08:00,ON_TIME,8.0,B10,VT-B020,146.0,0,IndiGo,A320,ACARS_v2,False,False
100363,6E1080,LKO,CCU,2025-12-06T23:45:00,,CANCELLED,,,VT-D029,,1,IndiGo,A321,ACARS_v2,False,False
100927,6E1723,COK,PNQ,2025-12-14T08:15:00,2025-12-14T08:17:00,ON_TIME,2.0,A6,VT-E057,186.0,0,IndiGo,A320neo,ACARS_v2,False,False
100058,6E7196,AMD,PAT,2025-12-01T20:30:00,2025-12-01T20:39:00,ON_TIME,,,VT-A025,182.0,0,IndiGo,A321,ACARS_v2,False,True
102059,6E5205,SXR,VNS,2025-12-30T20:15:00,2025-12-30T20:17:00,ON_TIME,2.0,C6,VT-A036,164.0,0,IndiGo,A320,ACARS_v2,False,False
101945,6E6147,IXB,SXR,2025-12-28T07:45:00,2025-12-28T07:52:00,ON_TIME,7.0,E14,VT-A030,146.0,0,IndiGo,A321,ACARS_v2,False,False
101898,6E8764,IXB,SXR,2025-12-28T20:15:00,2025-12-28T20:15:00,ON_TIME,0.0,B24,VT-E045,169.0,0,IndiGo,A320neo,ACARS_v2,False,False
