flight_id,flight_number,origin,destination,scheduled_dep,actual_dep,status,delay_minutes,gate,tail_number,passengers,is_night_flight,airline,aircraft_type,source_system,missing_passenger_flag,missing_gate_flag
101106,6E2792,HYD,CCU,2025-11-16T15:00:00,2025-11-16T15:06:00,ON_TIME,6.0,D12,VT-B026,149.0,0,IndiGo,A320,ACARS_v2,False,False
101314,6E3468,MAA,AMD,2025-11-19T20:15:00,2025-11-19T20:17:00,ON_TIME,2.0,B3,VT-A048,165.0,0,IndiGo,A321neo,ACARS_v2,False,False
101435,6E677,PAT,SXR,2025-11-21T13:00:00,2025-11-21T13:01:00,ON_TIME,1.0,A6,VT-D054,168.0,0,IndiGo,A321,ACARS_v2,False,False
100829,6E6126,CCU,BLR,2025-11-12T23:30:00,,DELAYED,2.0,C23,VT-D039,151.0,1,IndiGo,A321,ACARS_v2,False,False
100704,6E8259,MAA,IXB,2025-11-11T00:15:00,2025-11-11T00:25:00,ON_TIME,10.0,E3,VT-E006,180.0,1,IndiGo,A321neo,ACARS_v2,False,False
100427,6E1680,CCU,IXB,2025-11-07T15:00:00,2025-11-07T15:04:00,ON_TIME,4.0,C12,VT-B035,156.0,0,IndiGo,A321neo,ACARS_v2,False,False
101927,6E1209,GOI,GAU,2025-11-28T09:15:00,2025-11-28T09:21:00,ON_TIME,6.0,B10,VT-A050,173.0,0,IndiGo,A321,ACARS_v2,False,False
101710,6E862,DEL,COK,2025-11-25T15:45:00,2025-11-25T15:47:00,ON_TIME,2.0,D17,VT-D036,159.0,0,IndiGo,A320,ACARS_v2,False,False
101297,6E103,DEL,AMD,2025-11-19T20:30:00,2025-11-19T20:37:00,ON_TIME,7.0,C12,VT-C021,141.0,0,IndiGo,A320,ACARS_v2,False,False
100761,6E2470,BOM,ATQ,2025-11-11T02:00:00,2025-11-11T02:00:00,ON_TIME,0.0,E24,VT-B021,186.0,1,IndiGo,A321,ACARS_v2,False,False
100384,6E8687,DEL,PNQ,2025-11-06T15:15:00,,CANCELLED,,,VT-B001,,0,IndiGo,A320neo,ACARS_v2,False,False
100386,6E4455,MAA,LKO,2025-11-06T08:15:00,2025-11-06T08:15:00,ON_TIME,0.0,D18,VT-E013,183.0,0,IndiGo,A321,ACARS_v2,False,False
100033,6E5054,DEL,VNS,2025-11-01T20:15:00,2025-11-01T20:25:00,ON_TIME,10.0,B1,VT-A025,161.0,0,IndiGo,A321,ACARS_v2,False,False
101325,6E9812,CCU,MAA,2025-11-19T05:45:00,2025-11-19T07:16:00,DELAYED,91.0,B11,VT-C036,177.0,1,IndiGo,A320neo,ACARS_v2,False,False
100161,6E1244,LKO,PNQ,2025-11-03T14:45:00,,CANCELLED,,,VT-B012,,0,IndiGo,A320neo,ACARS_v2,False,False
102073,6E8009,BHO,GAU,2025-11-30T10:15:00,2025-11-30T10:19:00,ON_TIME,4.0,C4,VT-E026,145.0,0,IndiGo,A321neo,ACARS_v2,False,False
100652,6E3569,GOI,HYD,2025-11-10T23:30:00,2025-11-10T23:37:00,ON_TIME,7.0,B21,VT-D060,177.0,1,IndiGo,A321neo,ACARS_v2,False,False
100581,6E6264,BHO,PNQ,2025-11-09T15:00:00,2025-11-09T15:01:00,ON_TIME,1.0,C6,VT-B008,151.0,0,IndiGo,A321,ACARS_v2,False,False
101560,6E1858,BHO,GOI,2025-11-23T13:30:00,2025-11-23T13:36:00,ON_TIME,6.0,E1,VT-E059,149.0,0,IndiGo,A321,ACARS_v2,False,False
101986,6E7092,GOI,LKO,2025-11-29T13:45:00,2025-11-29T13:49:00,ON_TIME,4.0,A12,VT-E050,150.0,0,IndiGo,A320neo,ACARS_v2,False,False
100299,6E1176,JAI,IXC,2025-11-05T05:30:00,,CANCELLED,,,VT-E021,,1,IndiGo,A321,ACARS_v2,False,False
100412,6E9860,AMD,BLR,2025-11-06T17:30:00,,CANCELLED,,,VT-D033,,0,IndiGo,A321neo,ACARS_v2,False,False
101514,6E2527,IXC,AMD,2025-11-22T00:15:00,2025-11-22T00:19:00,ON_TIME,4.0,C23,VT-C041,158.0,1,IndiGo,A321,ACARS_v2,False,False
101573,6E7563,HYD,GOI,2025-11-23T21:30:00,2025-11-23T21:31:00,ON_TIME,1.0,B11,VT-A016,166.0,0,IndiGo,A320,ACARS_v2,False,False
101176,6E3565,CCU,VNS,2025-11-17T03:30:00,2025-11-17T03:35:00,ON_TIME,5.0,C18,VT-C028,140.0,1,IndiGo,A321neo,ACARS_v2,False,False
100225,6E7622,DEL,CCU,2025-11-04T03:30:00,,CANCELLED,,,VT-C040,,1,IndiGo,A321neo,ACARS_v2,False,False
102049,6E3632,PAT,LKO,2025-11-30T08:15:00,2025-11-30T08:21:00,ON_TIME,6.0,D18,VT-E026,154.0,0,IndiGo,A321neo,ACARS_v2,False,False
100131,6E9450,HYD,BHO,2025-11-02T09:00:00,2025-11-02T09:02:00,ON_TIME,2.0,C11,VT-C056,152.0,0,IndiGo,A321neo,ACARS_v2,False,False
101526,6E7376,HYD,GOI,2025-11-22T11:15:00,2025-11-22T11:20:00,ON_TIME,5.0,D18,VT-B017,186.0,0,IndiGo,A321,ACARS_v2,False,False
100133,6E1285,IXC,BLR,2025-11-02T14:00:00,2025-11-02T14:02:00,ON_TIME,2.0,C3,VT-E047,159.0,0,IndiGo,A320neo,ACARS_v2,False,False
101611,6E7800,PAT,IXC,2025-11-24T10:00:00,2025-11-24T10:01:00,ON_TIME,1.0,C15,VT-D048,175.0,0,IndiGo,A321neo,ACARS_v2,False,False
100696,6E3616,GAU,GOI,2025-11-10T06:00:00,,CANCELLED,,,VT-A058,,0,IndiGo,A320neo,ACARS_v2,False,False
100157,6E6144,COK,CCU,2025-11-03T12:45:00,2025-11-03T12:45:00,ON_TIME,0.0,D15,VT-B025,154.0,0,IndiGo,A321,ACARS_v2,False,False
100442,6E7345,BOM,MAA,2025-11-07T07:30:00,2025-11-07T07:35:00,ON_TIME,5.0,B10,VT-C009,159.0,0,IndiGo,A320neo,ACARS_v2,False,False
102066,6E1557,PNQ,BHO,2025-11-30T20:15:00,2025-11-30T20:19:00,ON_TIME,4.0,E14,VT-A021,162.0,0,IndiGo,A321neo,ACARS_v2,False,False
100617,6E6894,DEL,AMD,2025-11-09T07:00:00,2025-11-09T07:01:00,ON_TIME,1.0,A5,VT-A017,181.0,0,IndiGo,A320,ACARS_v2,False,False
100251,6E1862,CCU,GOI,2025-11-04T06:30:00,,CANCELLED,,,VT-A050,,0,IndiGo,A321neo,ACARS_v2,False,False
100322,6E3737,PAT,BHO,2025-11-05T02:45:00,2025-11-05T02:49:00,ON_TIME,4.0,D13,VT-C026,171.0,1,IndiGo,A320neo,ACARS_v2,False,False
101670,6E776,PAT,ATQ,2025-11-24T04:15:00,2025-11-24T04:18:00,ON_TIME,3.0,B15,VT-B042,177.0,1,IndiGo,A320,ACARS_v2,False,False
101460,6E5506,GOI,SXR,2025-11-21T19:30:00,2025-11-21T19:32:00,ON_TIME,2.0,D9,VT-C003,143.0,0,IndiGo,A320neo,ACARS_v2,False,False
101409,6E7733,GOI,MAA,2025-11-21T00:45:00,2025-11-21T00:48:00,ON_TIME,3.0,D5,VT-D037,170.0,1,IndiGo,A320,ACARS_v2,False,False
101820,6E3617,COK,BLR,2025-11-26T19:45:00,2025-11-26T19:46:00,ON_TIME,1.0,C7,VT-A012,142.0,0,IndiGo,A320,ACARS_v2,False,False
100895,6E9735,IXB,HYD,2025-11-13T12:00:00,2025-11-13T12:10:00,ON_TIME,10.0,D19,VT-B043,140.0,0,IndiGo,A321,ACARS_v2,False,False
100226,6E4190,IXB,ATQ,2025-11-04T13:45:00,2025-11-04T16:30:00,DELAYED,165.0,D14,VT-E018,149.0,0,IndiGo,A320,ACARS_v2,False,False
100368,6E5410,GAU,BLR,2025-11-06T22:00:00,2025-11-06T22:00:00,ON_TIME,0.0,D15,VT-D026,174.0,0,IndiGo,A321neo,ACARS_v2,False,False
102081,6E2462,BOM,GAU,2025-11-30T22:00:00,2025-11-30T22:07:00,ON_TIME,7.0,A16,VT-C013,175.0,0,IndiGo,A320neo,ACARS_v2,False,False
100739,6E9882,MAA,BOM,2025-11-11T22:45:00,2025-11-11T22:51:00,ON_TIME,6.0,D10,VT-C056,144.0,0,IndiGo,A321neo,ACARS_v2,False,False
101127,6E9621,COK,GAU,2025-11-17T12:00:00,2025-11-17T12:06:00,ON_TIME,6.0,D7,VT-D018,160.0,0,IndiGo,A320,ACARS_v2,False,False
101479,6E8608,DEL,ATQ,2025-11-22T17:45:00,2025-11-22T17:50:00,ON_TIME,5.0,B14,VT-A005,181.0,0,IndiGo,A321,ACARS_v2,False,False
100195,6E701,BOM,BLR,2025-11-03T05:00:00,2025-11-03T07:41:00,DELAYED,161.0,A24,VT-E012,148.0,1,IndiGo,A321,ACARS_v2,False,False
100303,6E5582,PAT,CCU,2025-11-05T05:45:00,,CANCELLED,,,VT-E010,,1,IndiGo,A321neo,ACARS_v2,False,False
100453,6E8225,GOI,BOM,2025-11-07T06:15:00,2025-11-07T06:16:00,ON_TIME,1.0,D14,VT-B031,166.0,0,IndiGo,A321,ACARS_v2,False,False
100392,6E4623,GAU,BOM,2025-11-06T09:45:00,,CANCELLED,,,VT-C034,,0,IndiGo,A321neo,ACARS_v2,False,False
101092,6E4194,SXR,IXC,2025-11-16T19:00:00,2025-11-16T19:10:00,ON_TIME,10.0,A6,VT-D049,165.0,0,IndiGo,A321neo,ACARS_v2,False,False
100449,6E1557,JAI,SXR,2025-11-07T02:00:00,2025-11-07T02:01:00,ON_TIME,1.0,B18,VT-C024,184.0,1,IndiGo,A320neo,ACARS_v2,False,False
100002,6E556,JAI,IXB,2025-11-01T03:00:00,2025-11-01T03:06:00,ON_TIME,6.0,A13,VT-D031,143.0,1,IndiGo,A320,ACARS_v2,False,False
100670,6E6964,COK,JAI,2025-11-10T11:45:00,2025-11-10T11:48:00,ON_TIME,3.0,C18,VT-D039,173.0,0,IndiGo,A321,ACARS_v2,False,False
100573,6E3917,BHO,IXC,2025-11-09T22:00:00,2025-11-09T22:08:00,ON_TIME,8.0,E8,VT-B059,177.0,0,IndiGo,A321neo,ACARS_v2,False,False
100063,6E9852,GOI,BHO,2025-11-01T17:45:00,2025-11-01T17:50:00,ON_TIME,5.0,A16,VT-C012,149.0,0,IndiGo,A321neo,ACARS_v2,False,False
100884,6E851,ATQ,LKO,2025-11-13T04:15:00,2025-11-13T04:22:00,ON_TIME,7.0,E8,VT-D050,176.0,1,IndiGo,A320,ACARS_v2,False,False
100985,6E1166,SXR,COK,2025-11-15T18:45:00,2025-11-15T20:06:00,DELAYED,81.0,B15,VT-E055,156.0,0,IndiGo,A320neo,ACARS_v2,False,False
100946,6E2516,SXR,BOM,2025-11-14T08:45:00,2025-11-14T08:51:00,ON_TIME,6.0,B2,VT-E019,150.0,0,IndiGo,A321,ACARS_v2,False,False
101467,6E5473,BHO,GOI,2025-11-21T11:15:00,2025-11-21T12:23:00,DELAYED,68.0,D14,VT-C011,158.0,0,IndiGo,A320,ACARS_v2,False,False
100663,6E7291,LKO,GAU,2025-11-10T07:00:00,2025-11-10T07:46:00,DELAYED,46.0,E20,VT-A039,162.0,0,IndiGo,A321neo,ACARS_v2,False,False
100240,6E7323,BLR,COK,2025-11-04T11:00:00,2025-11-04T11:03:00,ON_TIME,3.0,A19,VT-A029,151.0,0,IndiGo,A321neo,ACARS_v2,False,False
100121,6E5038,JAI,SXR,2025-11-02T20:00:00,,CANCELLED,,,VT-D012,,0,IndiGo,A321neo,ACARS_v2,False,False
100526,6E6658,IXC,JAI,2025-11-08T11:45:00,2025-11-08T11:50:00,ON_TIME,5.0,C13,VT-A007,148.0,0,IndiGo,A321neo,ACARS_v2,False,False
100717,6E4472,HYD,IXC,2025-11-11T18:15:00,2025-11-11T19:53:00,DELAYED,98.0,B8,VT-B051,150.0,0,IndiGo,A320neo,ACARS_v2,False,False
101256,6E4272,JAI,PAT,2025-11-18T23:15:00,2025-11-18T23:15:00,ON_TIME,0.0,D24,VT-E059,156.0,1,IndiGo,A320,ACARS_v2,False,False
101980,6E4957,DEL,IXB,2025-11-29T02:15:00,2025-11-29T02:18:00,ON_TIME,3.0,B16,VT-E054,167.0,1,IndiGo,A321,ACARS_v2,False,False
100952,6E7899,PAT,CCU,2025-11-14T03:00:00,2025-11-14T03:02:00,ON_TIME,2.0,A18,VT-D039,148.0,1,IndiGo,A320,ACARS_v2,False,False
100528,6E9570,BLR,HYD,2025-11-08T04:00:00,2025-11-08T04:03:00,ON_TIME,3.0,D19,VT-E011,169.0,1,IndiGo,A321neo,ACARS_v2,False,False
100313,6E4461,JAI,SXR,2025-11-05T17:30:00,,CANCELLED,,,VT-C011,,0,IndiGo,A320,ACARS_v2,False,False
101060,6E3076,GAU,DEL,2025-11-16T07:15:00,2025-11-16T07:18:00,ON_TIME,3.0,A9,VT-D051,149.0,0,IndiGo,A321,ACARS_v2,False,False
101608,6E1217,PNQ,AMD,2025-11-23T13:00:00,2025-11-23T13:37:00,DELAYED,37.0,A20,VT-A041,175.0,0,IndiGo,A321,ACARS_v2,False,False
100762,6E6681,IXB,MAA,2025-11-11T18:00:00,,DELAYED,5.0,E5,VT-E036,176.0,0,IndiGo,A321,ACARS_v2,False,False
100414,6E6348,AMD,CCU,2025-11-06T19:45:00,2025-11-06T19:45:00,ON_TIME,0.0,D22,VT-B007,162.0,0,IndiGo,A320,ACARS_v2,False,False
100557,6E3914,AMD,BOM,2025-11-08T11:00:00,2025-11-08T11:03:00,ON_TIME,3.0,D7,VT-C040,153.0,0,IndiGo,A321,ACARS_v2,False,False
101781,6E5963,GAU,JAI,2025-11-26T21:30:00,2025-11-26T21:33:00,ON_TIME,3.0,E3,VT-B004,183.0,0,IndiGo,A320neo,ACARS_v2,False,False
100820,6E2393,GAU,VNS,2025-11-12T12:30:00,2025-11-12T12:36:00,ON_TIME,6.0,D3,VT-E057,184.0,0,IndiGo,A320,ACARS_v2,False,False
100187,6E7691,GOI,MAA,2025-11-03T10:30:00,2025-11-03T11:50:00,DELAYED,80.0,A19,VT-D015,185.0,0,IndiGo,A320neo,ACARS_v2,False,False
100522,6E7547,AMD,SXR,2025-11-08T22:15:00,,CANCELLED,,,VT-A021,,0,IndiGo,A321,ACARS_v2,False,False
100254,6E3416,JAI,PNQ,2025-11-04T04:00:00,,CANCELLED,,,VT-C027,,1,IndiGo,A320neo,ACARS_v2,False,False
100953,6E4776,MAA,BLR,2025-11-14T14:30:00,2025-11-14T14:37:00,ON_TIME,7.0,C19,VT-A025,143.0,0,IndiGo,A321,ACARS_v2,False,False
101450,6E6739,JAI,HYD,2025-11-21T20:00:00,2025-11-21T20:34:00,DELAYED,34.0,B5,VT-C057,186.0,0,IndiGo,A321neo,ACARS_v2,False,False
101624,6E4711,BLR,SXR,2025-11-24T14:45:00,2025-11-24T14:49:00,ON_TIME,4.0,A14,VT-C007,158.0,0,IndiGo,A320neo,ACARS_v2,False,False
101867,6E9863,DEL,HYD,2025-11-27T14:15:00,2025-11-27T14:19:00,ON_TIME,4.0,D5,VT-A036,184.0,0,IndiGo,A320,ACARS_v2,False,False
100500,6E8455,HYD,CCU,2025-11-08T08:45:00,2025-11-08T08:45:00,ON_TIME,0.0,A16,VT-A040,140.0,0,IndiGo,A320neo,ACARS_v2,False,False
101082,6E7201,LKO,JAI,2025-11-16T03:15:00,2025-11-16T03:17:00,ON_TIME,2.0,D14,VT-C014,151.0,1,IndiGo,A321neo,ACARS_v2,False,False
101179,6E2052,JAI,CCU,2025-11-17T03:00:00,2025-11-17T03:07:00,ON_TIME,7.0,A5,VT-E059,150.0,1,IndiGo,A321neo,ACARS_v2,False,False
101238,6E8603,SXR,BLR,2025-11-18T13:15:00,2025-11-18T13:19:00,ON_TIME,4.0,B17,VT-D006,162.0,0,IndiGo,A320neo,ACARS_v2,False,False
100379,6E9952,SXR,BOM,2025-11-06T04:30:00,,CANCELLED,,,VT-C054,,1,IndiGo,A320neo,ACARS_v2,False,False
100439,6E7859,CCU,PAT,2025-11-07T03:15:00,,CANCELLED,,,VT-C031,,1,IndiGo,A320neo,ACARS_v2,False,False
100875,6E6631,BOM,ATQ,2025-11-13T03:30:00,2025-11-13T03:40:00,ON_TIME,10.0,E20,VT-B058,183.0,1,IndiGo,A320,ACARS_v2,False,False
101432,6E5504,JAI,IXB,2025-11-21T21:00:00,2025-11-21T21:07:00,ON_TIME,7.0,B10,VT-B009,155.0,0,IndiGo,A321neo,ACARS_v2,False,False
101985,6E9421,COK,HYD,2025-11-29T12:30:00,2025-11-29T12:33:00,ON_TIME,3.0,B6,VT-D018,157.0,0,IndiGo,A321,ACARS_v2,False,False
100679,6E4595,ATQ,SXR,2025-11-10T07:15:00,2025-11-10T08:05:00,DELAYED,50.0,C11,VT-D031,148.0,0,IndiGo,A321,ACARS_v2,False,False
100167,6E6782,PNQ,MAA,2025-11-03T02:15:00,2025-11-03T05:03:00,DELAYED,168.0,A11,VT-E004,182.0,1,IndiGo,A321,ACARS_v2,False,False
101385,6E1896,AMD,BHO,2025-11-20T12:15:00,2025-11-20T12:20:00,ON_TIME,5.0,B1,VT-A031,160.0,0,IndiGo,A320,ACARS_v2,False,False
102077,6E1027,AMD,COK,2025-11-30T12:30:00,2025-11-30T12:39:00,ON_TIME,9.0,D4,VT-C039,147.0,0,IndiGo,A320,ACARS_v2,False,False
100012,6E1369,VNS,AMD,2025-11-01T04:30:00,2025-11-01T04:33:00,ON_TIME,3.0,D6,VT-D051,151.0,1,IndiGo,A321,ACARS_v2,False,False
100508,6E1220,BHO,VNS,2025-11-08T22:15:00,2025-11-08T22:16:00,ON_TIME,1.0,D16,VT-D058,181.0,0,IndiGo,A320neo,ACARS_v2,False,False
100711,6E7782,BLR,IXC,2025-11-11T14:30:00,2025-11-11T14:39:00,ON_TIME,9.0,E19,VT-A029,167.0,0,IndiGo,A321neo,ACARS_v2,False,False
101093,6E6115,GAU,MAA,2025-11-16T03:30:00,2025-11-16T04:18:00,DELAYED,48.0,E18,VT-D036,176.0,1,IndiGo,A320neo,ACARS_v2,False,False
101682,6E9014,GOI,PAT,2025-11-25T22:30:00,2025-11-25T22:33:00,ON_TIME,3.0,B22,VT-B057,180.0,0,IndiGo,A320,ACARS_v2,False,False
101390,6E908,MAA,PNQ,2025-11-20T03:30:00,2025-11-20T03:38:00,ON_TIME,8.0,E5,VT-C054,185.0,1,IndiGo,A320,ACARS_v2,False,False
101279,6E2988,ATQ,VNS,2025-11-19T17:45:00,2025-11-19T17:50:00,ON_TIME,5.0,B16,VT-C008,161.0,0,IndiGo,A321,ACARS_v2,False,False
101545,6E9980,BHO,AMD,2025-11-23T07:00:00,2025-11-23T07:04:00,ON_TIME,4.0,A7,VT-A049,182.0,0,IndiGo,A321,ACARS_v2,False,False
100284,6E1592,ATQ,DEL,2025-11-05T06:00:00,,CANCELLED,,,VT-C003,,0,IndiGo,A320,ACARS_v2,False,False
100980,6E8511,IXB,COK,2025-11-14T05:45:00,,DELAYED,6.0,D22,VT-B060,186.0,1,IndiGo,A321,ACARS_v2,False,False
100843,6E9110,MAA,DEL,2025-11-13T18:15:00,2025-11-13T18:17:00,ON_TIME,2.0,B2,VT-D016,173.0,0,IndiGo,A320,ACARS_v2,False,False
101609,6E8182,PAT,IXB,2025-11-23T19:00:00,2025-11-23T19:04:00,ON_TIME,4.0,D7,VT-B019,150.0,0,IndiGo,A321neo,ACARS_v2,False,False
101406,6E9080,GOI,MAA,2025-11-21T07:00:00,,CANCELLED,6.0,C24,VT-E026,183.0,0,IndiGo,A320neo,ACARS_v2,False,False
100054,6E123,VNS,PNQ,2025-11-01T17:00:00,2025-11-01T17:07:00,ON_TIME,7.0,A22,VT-D016,166.0,0,IndiGo,A321,ACARS_v2,False,False
100549,6E7053,MAA,JAI,2025-11-08T08:30:00,2025-11-08T08:37:00,ON_TIME,7.0,E6,VT-C023,142.0,0,IndiGo,A320,ACARS_v2,False,False
101990,6E7855,PAT,BLR,2025-11-29T17:45:00,2025-11-29T17:55:00,ON_TIME,10.0,C2,VT-D018,163.0,0,IndiGo,A320neo,ACARS_v2,False,False
100751,6E2196,BHO,LKO,2025-11-11T07:00:00,2025-11-11T07:03:00,ON_TIME,3.0,C5,VT-B047,150.0,0,IndiGo,A320,ACARS_v2,False,False
101850,6E3661,MAA,COK,2025-11-27T21:30:00,2025-11-27T21:34:00,ON_TIME,4.0,B1,VT-E031,142.0,0,IndiGo,A321,ACARS_v2,False,False
100238,6E2134,PNQ,BHO,2025-11-04T01:45:00,2025-11-04T05:06:00,DELAYED,201.0,A14,VT-A005,154.0,1,IndiGo,A320neo,ACARS_v2,False,False
101511,6E3253,HYD,ATQ,2025-11-22T08:30:00,2025-11-22T08:33:00,ON_TIME,3.0,D21,VT-C008,174.0,0,IndiGo,A320,ACARS_v2,False,False
