staff_code,week_number,year,fdtl_phase,night_landings,night_landing_limit,actual_rest_hrs,required_rest_hrs,compliant,reported_by,verified
SC10001,44,2025,Phase_I,2,6,28.5,36,NO,Manual Entry,False
SC10001,45,2025,Phase_II,6,2,29.6,48,NO,Manual Entry,False
SC10001,46,2025,Phase_II,4,2,57.8,48,NO,Ops Control,
SC10001,47,2025,Phase_II,4,2,35.1,48,NO,Manual Entry,True
SC10001,48,2025,Phase_II,4,2,37.1,48,NO,Manual Entry,False
SC10001,49,2025,Phase_II,8,2,47.4,48,NO,Ops Control,False
SC10001,50,2025,Phase_II,3,2,51.8,48,NO,Ops Control,True
SC10002,44,2025,Phase_I,7,6,47.4,36,NO,Manual Entry,
SC10002,45,2025,Phase_II,0,2,45.6,48,NO,Ops Control,
SC10002,46,2025,Phase_II,0,2,47.8,48,NO,HR System,False
SC10002,47,2025,Phase_II,4,2,30.9,48,NO,HR System,True
SC10002,48,2025,Phase_II,0,2,69.3,48,YES,HR System,
SC10002,49,2025,Phase_II,6,2,61.9,48,NO,Manual Entry,False
SC10002,50,2025,Phase_II,7,2,39.8,48,NO,Ops Control,True
SC10003,44,2025,Phase_I,0,6,36.7,36,YES,HR System,False
SC10003,45,2025,Phase_II,1,2,56.9,48,YES,Ops Control,True
SC10003,46,2025,Phase_II,6,2,37.7,48,NO,Ops Control,True
SC10003,47,2025,Phase_II,2,2,33.3,48,NO,HR System,
SC10003,48,2025,Phase_II,6,2,36.9,48,NO,HR System,False
SC10003,49,2025,Phase_II,4,2,66.3,48,NO,Ops Control,
SC10003,50,2025,Phase_II,7,2,37.3,48,NO,Ops Control,False
SC10004,44,2025,Phase_I,1,6,70.9,36,YES,Ops Control,
SC10004,45,2025,Phase_II,5,2,43.2,48,NO,Ops Control,
SC10004,46,2025,Phase_II,8,2,70.0,48,NO,Ops Control,False
SC10004,47,2025,Phase_II,2,2,63.8,48,YES,Manual Entry,
SC10004,48,2025,Phase_II,6,2,59.9,48,NO,Manual Entry,
SC10004,49,2025,Phase_II,2,2,68.9,48,YES,Ops Control,False
SC10004,50,2025,Phase_II,8,2,53.8,48,NO,Manual Entry,
SC10005,44,2025,Phase_I,8,6,55.2,36,NO,HR System,
SC10005,45,2025,Phase_II,3,2,71.6,48,NO,HR System,False
SC10005,46,2025,Phase_II,7,2,34.1,48,NO,Manual Entry,False
SC10005,47,2025,Phase_II,7,2,38.1,48,NO,Manual Entry,
SC10005,48,2025,Phase_II,4,2,63.9,48,NO,Ops Control,True
SC10005,49,2025,Phase_II,3,2,69.0,48,NO,Manual Entry,False
SC10005,50,2025,Phase_II,3,2,53.2,48,NO,HR System,True
SC10006,44,2025,Phase_I,4,6,55.4,36,YES,Ops Control,False
SC10006,45,2025,Phase_II,5,2,37.5,48,NO,HR System,False
SC10006,46,2025,Phase_II,4,2,44.8,48,NO,HR System,True
SC10006,47,2025,Phase_II,2,2,30.4,48,NO,HR System,False
SC10006,48,2025,Phase_II,6,2,65.5,48,NO,Ops Control,True
SC10006,49,2025,Phase_II,3,2,40.8,48,NO,Manual Entry,
SC10006,50,2025,Phase_II,6,2,40.5,48,NO,Manual Entry,True
SC10007,44,2025,Phase_I,3,6,40.4,36,YES,Manual Entry,
SC10007,45,2025,Phase_II,7,2,38.3,48,NO,HR System,True
SC10007,46,2025,Phase_II,7,2,62.8,48,NO,Manual Entry,True
SC10007,47,2025,Phase_II,3,2,29.7,48,NO,Manual Entry,False
SC10007,48,2025,Phase_II,3,2,46.4,48,YES,Ops Control,
SC10007,49,2025,Phase_II,8,2,60.8,48,NO,Manual Entry,
SC10007,50,2025,Phase_II,8,2,63.8,48,NO,Manual Entry,
SC10008,44,2025,Phase_I,0,6,70.3,36,YES,Manual Entry,True
SC10008,45,2025,Phase_II,1,2,60.7,48,YES,Ops Control,True
SC10008,46,2025,Phase_II,1,2,58.7,48,YES,Ops Control,True
SC10008,47,2025,Phase_II,0,2,56.4,48,YES,Ops Control,True
SC10008,48,2025,Phase_II,4,2,70.8,48,NO,Ops Control,True
SC10008,49,2025,Phase_II,8,2,59.7,48,NO,HR System,True
SC10008,50,2025,Phase_II,0,2,48.3,48,YES,HR System,True
SC10009,44,2025,Phase_I,0,6,71.9,36,YES,HR System,True
SC10009,45,2025,Phase_II,8,2,70.6,48,NO,Manual Entry,False
SC10009,46,2025,Phase_II,6,2,54.8,48,NO,Manual Entry,True
SC10009,47,2025,Phase_II,8,2,43.4,48,NO,Manual Entry,False
SC10009,48,2025,Phase_II,4,2,33.0,48,NO,Ops Control,True
SC10009,49,2025,Phase_II,1,2,44.2,48,NO,HR System,True
SC10009,50,2025,Phase_II,2,2,61.0,48,YES,HR System,True
SC10010,44,2025,Phase_I,2,6,55.3,36,YES,Manual Entry,True
SC10010,45,2025,Phase_II,1,2,54.2,48,YES,HR System,True
SC10010,46,2025,Phase_II,0,2,62.1,48,YES,Manual Entry,False
SC10010,47,2025,Phase_II,3,2,40.9,48,NO,Ops Control,True
SC10010,48,2025,Phase_II,5,2,59.8,48,NO,Manual Entry,False
SC10010,49,2025,Phase_II,0,2,71.2,48,YES,Manual Entry,False
SC10010,50,2025,Phase_II,0,2,70.0,48,YES,Ops Control,True
SC10011,44,2025,Phase_I,6,6,51.9,36,YES,Ops Control,True
SC10011,45,2025,Phase_II,4,2,57.3,48,NO,HR System,True
SC10011,46,2025,Phase_II,3,2,41.1,48,NO,Ops Control,
SC10011,47,2025,Phase_II,2,2,49.6,48,YES,Ops Control,
SC10011,48,2025,Phase_II,6,2,52.5,48,NO,Ops Control,True
SC10011,49,2025,Phase_II,8,2,54.8,48,NO,HR System,False
SC10011,50,2025,Phase_II,2,2,54.5,48,YES,Manual Entry,True
SC10012,44,2025,Phase_I,6,6,31.7,36,NO,Ops Control,False
SC10012,45,2025,Phase_II,8,2,68.0,48,NO,HR System,True
SC10012,46,2025,Phase_II,1,2,60.4,48,YES,Manual Entry,True
SC10012,47,2025,Phase_II,7,2,34.4,48,NO,HR System,False
SC10012,48,2025,Phase_II,7,2,37.2,48,YES,HR System,
SC10012,49,2025,Phase_II,1,2,62.2,48,YES,Manual Entry,True
SC10012,50,2025,Phase_II,3,2,40.4,48,NO,HR System,True
SC10013,44,2025,Phase_I,1,6,65.4,36,YES,Ops Control,
SC10013,45,2025,Phase_II,5,2,61.1,48,NO,HR System,True
SC10013,46,2025,Phase_II,6,2,35.9,48,NO,Manual Entry,False
SC10013,47,2025,Phase_II,6,2,43.7,48,NO,Manual Entry,True
SC10013,48,2025,Phase_II,3,2,61.6,48,NO,HR System,False
SC10013,49,2025,Phase_II,5,2,33.0,48,NO,HR System,True
SC10013,50,2025,Phase_II,1,2,50.0,48,YES,HR System,False
SC10014,44,2025,Phase_I,8,6,57.0,36,NO,Manual Entry,True
SC10014,45,2025,Phase_II,3,2,44.1,48,NO,HR System,True
SC10014,46,2025,Phase_II,2,2,57.4,48,YES,Ops Control,
SC10014,47,2025,Phase_II,6,2,56.7,48,NO,Ops Control,True
SC10014,48,2025,Phase_II,3,2,36.6,48,NO,Manual Entry,False
SC10014,49,2025,Phase_II,0,2,51.2,48,YES,Manual Entry,False
SC10014,50,2025,Phase_II,7,2,63.3,48,NO,Manual Entry,False
SC10015,44,2025,Phase_I,6,6,53.7,36,YES,Ops Control,True
SC10015,45,2025,Phase_II,7,2,44.2,48,NO,Manual Entry,False
SC10015,46,2025,Phase_II,6,2,29.4,48,NO,Ops Control,False
SC10015,47,2025,Phase_II,1,2,51.0,48,YES,Manual Entry,False
SC10015,48,2025,Phase_II,2,2,53.0,48,YES,Manual Entry,
SC10015,49,2025,Phase_II,3,2,37.6,48,NO,Manual Entry,False
SC10015,50,2025,Phase_II,7,2,31.9,48,NO,Manual Entry,True
SC10016,44,2025,Phase_I,3,6,30.5,36,NO,HR System,True
SC10016,45,2025,Phase_II,7,2,62.2,48,NO,Ops Control,
SC10016,46,2025,Phase_II,2,2,41.6,48,NO,Manual Entry,False
SC10016,47,2025,Phase_II,1,2,62.6,48,YES,HR System,False
SC10016,48,2025,Phase_II,1,2,49.0,48,YES,Manual Entry,
SC10016,49,2025,Phase_II,2,2,60.6,48,YES,Manual Entry,
SC10016,50,2025,Phase_II,7,2,40.9,48,NO,Ops Control,True
SC10017,44,2025,Phase_I,1,6,58.7,36,YES,HR System,False
SC10017,45,2025,Phase_II,7,2,30.1,48,NO,Ops Control,False
SC10017,46,2025,Phase_II,7,2,63.2,48,NO,Ops Control,False
